european_capital_cities;p_age;p_gender;p_education;p_country;p_id;uri
paris;27;Female;Master's degree;Germany;76;http://dbpedia.org/resource/Paris
rome;27;Female;Master's degree;Germany;76;http://dbpedia.org/resource/Rome
berlin;27;Female;Master's degree;Germany;76;http://dbpedia.org/resource/Berlin
paris;51;Male;High school degree or equivalent;Germany;77;http://dbpedia.org/resource/Paris
lisbon;51;Male;High school degree or equivalent;Germany;77;http://dbpedia.org/resource/Lisbon
berlin;51;Male;High school degree or equivalent;Germany;77;http://dbpedia.org/resource/Berlin
berlin;26;Male;High school degree or equivalent;Germany;78;http://dbpedia.org/resource/Berlin
paris;26;Male;High school degree or equivalent;Germany;78;http://dbpedia.org/resource/Paris
london;26;Male;High school degree or equivalent;Germany;78;http://dbpedia.org/resource/London
paris;27;Male;Bachelor's degree;Germany;79;http://dbpedia.org/resource/Paris
london;27;Male;Bachelor's degree;Germany;79;http://dbpedia.org/resource/London
berlin;27;Male;Bachelor's degree;Germany;79;http://dbpedia.org/resource/Berlin
berlin;25;Male;Master's degree;Germany;80;http://dbpedia.org/resource/Berlin
paris;25;Male;Master's degree;Germany;80;http://dbpedia.org/resource/Paris
madrid;25;Male;Master's degree;Germany;80;http://dbpedia.org/resource/Madrid
madrid;25;Male;Bachelor's degree;Germany;81;http://dbpedia.org/resource/Madrid
paris;25;Male;Bachelor's degree;Germany;81;http://dbpedia.org/resource/Paris
berlin;25;Male;Bachelor's degree;Germany;81;http://dbpedia.org/resource/Berlin
valetta;21;Male;High school degree or equivalent;Germany;82;http://dbpedia.org/resource/Valletta
dublin;21;Male;High school degree or equivalent;Germany;82;http://dbpedia.org/resource/Dublin
reykjavik;21;Male;High school degree or equivalent;Germany;82;http://dbpedia.org/resource/Reykjavík
berlin;23;Female;Bachelor's degree;Germany;83;http://dbpedia.org/resource/Berlin
madrid;23;Female;Bachelor's degree;Germany;83;http://dbpedia.org/resource/Madrid
rome;23;Female;Bachelor's degree;Germany;83;http://dbpedia.org/resource/Rome
berlin;28;Female;Master's degree;Germany;84;http://dbpedia.org/resource/Berlin
paris;28;Female;Master's degree;Germany;84;http://dbpedia.org/resource/Paris
rome;28;Female;Master's degree;Germany;84;http://dbpedia.org/resource/Rome
london;25;Female;Master's degree;Germany;85;http://dbpedia.org/resource/London
vienna;25;Female;Master's degree;Germany;85;http://dbpedia.org/resource/Vienna
sofia;25;Female;Master's degree;Germany;85;http://dbpedia.org/resource/Sofia
paris;25;Female;Bachelor's degree;Russia;86;http://dbpedia.org/resource/Paris
copenhagen;25;Female;Bachelor's degree;Russia;86;http://dbpedia.org/resource/Copenhagen
