us_companies;p_age;p_gender;p_education;p_country;p_id;uri
pinterest;38;Male;Bachelor's degree;Germany;94;http://dbpedia.org/resource/Pinterest
tesla;40;Female;Bachelor's degree;China;95;http://dbpedia.org/resource/Tesla,_Inc.
jp morgan;40;Female;Bachelor's degree;China;95;http://dbpedia.org/resource/JPMorgan_Chase
gm;40;Female;Bachelor's degree;China;95;http://dbpedia.org/resource/GM_B_platform
apple;28;Female;High school degree or equivalent;Pakistan;96;http://dbpedia.org/resource/Apple_II
amazon;28;Female;High school degree or equivalent;Pakistan;96;http://dbpedia.org/resource/Time_in_Brazil
microsoft;28;Female;High school degree or equivalent;Pakistan;96;http://dbpedia.org/resource/Microsoft_Windows
google;48;Female;Master's degree;Germany;97;http://dbpedia.org/resource/Google
tesla;48;Female;Master's degree;Germany;97;http://dbpedia.org/resource/Tesla,_Inc.
amazon;48;Female;Master's degree;Germany;97;http://dbpedia.org/resource/Time_in_Brazil
ford;26;Male;Less than a high school degree;Germany;98;http://dbpedia.org/resource/Ford_Motor_Company
amazon;26;Male;Less than a high school degree;Germany;98;http://dbpedia.org/resource/Time_in_Brazil
apple;26;Male;Less than a high school degree;Germany;98;http://dbpedia.org/resource/Apple_II
amazon;26;Female;High school degree or equivalent;Germany;99;http://dbpedia.org/resource/Time_in_Brazil
tiffany & co.;26;Female;High school degree or equivalent;Germany;99;http://dbpedia.org/resource/Tiffany_&_Co.
whole foods;26;Female;High school degree or equivalent;Germany;99;http://dbpedia.org/resource/Whole_Foods_Market
craft heinz;45;Female;Bachelor's degree;USA;100;http://dbpedia.org/resource/List_of_students_at_South_Park_Elementary
amazon;45;Female;Bachelor's degree;USA;100;http://dbpedia.org/resource/Time_in_Brazil
apple;45;Female;Bachelor's degree;USA;100;http://dbpedia.org/resource/Apple_II
amazon;23;Female;Master's degree;England;101;http://dbpedia.org/resource/Time_in_Brazil
apple;23;Female;Master's degree;England;101;http://dbpedia.org/resource/Apple_II
amazon;26;Female;Bachelor's degree;Germany;102;http://dbpedia.org/resource/Time_in_Brazil
apple;26;Female;Bachelor's degree;Germany;102;http://dbpedia.org/resource/Apple_II
ford;70;Female;Master's degree;Germany;103;http://dbpedia.org/resource/Ford_Motor_Company
mcdonalds;70;Female;Master's degree;Germany;103;http://dbpedia.org/resource/McDonald's_All-American_Game
wrangler;70;Female;Master's degree;Germany;103;http://dbpedia.org/resource/Jeep_Wrangler
apple;33;Female;Master's degree;Iran;104;http://dbpedia.org/resource/Apple_II
walmart;33;Female;Master's degree;Iran;104;http://dbpedia.org/resource/Walmart
amazon;33;Female;Master's degree;Iran;104;http://dbpedia.org/resource/Time_in_Brazil
