us_tech_companies;p_age;p_gender;p_education;p_country;p_id;uri
microsoft;27;Female;Master's degree;Germany;76;http://dbpedia.org/resource/Microsoft_Windows
apple;27;Female;Master's degree;Germany;76;http://dbpedia.org/resource/Apple_II
amazon;51;Male;High school degree or equivalent;Germany;77;http://dbpedia.org/resource/Time_in_Brazil
alphabet;51;Male;High school degree or equivalent;Germany;77;http://dbpedia.org/resource/Alphabet_Inc.
apple;51;Male;High school degree or equivalent;Germany;77;http://dbpedia.org/resource/Apple_II
apple;26;Male;High school degree or equivalent;Germany;78;http://dbpedia.org/resource/Apple_II
amazon;26;Male;High school degree or equivalent;Germany;78;http://dbpedia.org/resource/Time_in_Brazil
tesla;26;Male;High school degree or equivalent;Germany;78;http://dbpedia.org/resource/Tesla,_Inc.
facebook;27;Male;Bachelor's degree;Germany;79;http://dbpedia.org/resource/Facebook
apple;27;Male;Bachelor's degree;Germany;79;http://dbpedia.org/resource/Apple_II
google;27;Male;Bachelor's degree;Germany;79;http://dbpedia.org/resource/Google
meta;25;Male;Master's degree;Germany;80;http://dbpedia.org/resource/Heavy_metal_music
alphabet;25;Male;Master's degree;Germany;80;http://dbpedia.org/resource/Alphabet_Inc.
netflix;25;Male;Master's degree;Germany;80;http://dbpedia.org/resource/Netflix
apple;25;Male;Bachelor's degree;Germany;81;http://dbpedia.org/resource/Apple_II
facebook;25;Male;Bachelor's degree;Germany;81;http://dbpedia.org/resource/Facebook
tesla;25;Male;Bachelor's degree;Germany;81;http://dbpedia.org/resource/Tesla,_Inc.
tesla;21;Male;High school degree or equivalent;Germany;82;http://dbpedia.org/resource/Tesla,_Inc.
spacex;21;Male;High school degree or equivalent;Germany;82;http://dbpedia.org/resource/SpaceX
nasa;21;Male;High school degree or equivalent;Germany;82;http://dbpedia.org/resource/NASA
apple;23;Female;Bachelor's degree;Germany;83;http://dbpedia.org/resource/Apple_II
microsoft;23;Female;Bachelor's degree;Germany;83;http://dbpedia.org/resource/Microsoft_Windows
tesla;23;Female;Bachelor's degree;Germany;83;http://dbpedia.org/resource/Tesla,_Inc.
apple;28;Female;Master's degree;Germany;84;http://dbpedia.org/resource/Apple_II
microsoft;28;Female;Master's degree;Germany;84;http://dbpedia.org/resource/Microsoft_Windows
intel;28;Female;Master's degree;Germany;84;http://dbpedia.org/resource/Intel
apple;25;Female;Master's degree;Germany;85;http://dbpedia.org/resource/Apple_II
microsoft;25;Female;Master's degree;Germany;85;http://dbpedia.org/resource/Microsoft_Windows
space x;25;Female;Master's degree;Germany;85;http://dbpedia.org/resource/SpaceX
salesforce;25;Female;Bachelor's degree;Russia;86;http://dbpedia.org/resource/Salesforce
oracle;25;Female;Bachelor's degree;Russia;86;http://dbpedia.org/resource/Oracle_Corporation
microsoft;25;Female;Bachelor's degree;Russia;86;http://dbpedia.org/resource/Microsoft_Windows
ibm;24;Female;High school degree or equivalent;Germany;87;http://dbpedia.org/resource/IBM
apple;24;Female;High school degree or equivalent;Germany;87;http://dbpedia.org/resource/Apple_II
microsoft;24;Female;High school degree or equivalent;Germany;87;http://dbpedia.org/resource/Microsoft_Windows
google;26;Male;Bachelor's degree;Germany;88;http://dbpedia.org/resource/Google
apple;26;Male;Bachelor's degree;Germany;88;http://dbpedia.org/resource/Apple_II
amazon;26;Male;Bachelor's degree;Germany;88;http://dbpedia.org/resource/Time_in_Brazil
apple;27;Female;Master's degree;Germany;89;http://dbpedia.org/resource/Apple_II
microsoft;27;Female;Master's degree;Germany;89;http://dbpedia.org/resource/Microsoft_Windows
facebook;27;Female;Master's degree;Germany;89;http://dbpedia.org/resource/Facebook
amazon;25;Male;Bachelor's degree;Germany;90;http://dbpedia.org/resource/Time_in_Brazil
alphabet;25;Male;Bachelor's degree;Germany;90;http://dbpedia.org/resource/Alphabet_Inc.
salesforce;25;Male;Bachelor's degree;Germany;90;http://dbpedia.org/resource/Salesforce
microsoft;25;Male;High school degree or equivalent;Germany;91;http://dbpedia.org/resource/Microsoft_Windows
apple;25;Male;High school degree or equivalent;Germany;91;http://dbpedia.org/resource/Apple_II
alphabet;25;Male;High school degree or equivalent;Germany;91;http://dbpedia.org/resource/Alphabet_Inc.
meta;28;Male;High school degree or equivalent;Germany;92;http://dbpedia.org/resource/Heavy_metal_music
apple;28;Male;High school degree or equivalent;Germany;92;http://dbpedia.org/resource/Apple_II
alphabet;28;Male;High school degree or equivalent;Germany;92;http://dbpedia.org/resource/Alphabet_Inc.
microsoft;47;Female;Bachelor's degree;England;93;http://dbpedia.org/resource/Microsoft_Windows
apple;47;Female;Bachelor's degree;England;93;http://dbpedia.org/resource/Apple_II
oracle;47;Female;Bachelor's degree;England;93;http://dbpedia.org/resource/Oracle_Corporation
alphabet;38;Male;Bachelor's degree;Germany;94;http://dbpedia.org/resource/Alphabet_Inc.
apple;38;Male;Bachelor's degree;Germany;94;http://dbpedia.org/resource/Apple_II
pinterest;38;Male;Bachelor's degree;Germany;94;http://dbpedia.org/resource/Pinterest
hp;40;Female;Bachelor's degree;China;95;http://dbpedia.org/resource/HP_Roman
oracle;40;Female;Bachelor's degree;China;95;http://dbpedia.org/resource/Oracle_Corporation
dell;40;Female;Bachelor's degree;China;95;http://dbpedia.org/resource/Dell_Publishing
apple;28;Female;High school degree or equivalent;Pakistan;96;http://dbpedia.org/resource/Apple_II
microsoft;28;Female;High school degree or equivalent;Pakistan;96;http://dbpedia.org/resource/Microsoft_Windows
amazon;28;Female;High school degree or equivalent;Pakistan;96;http://dbpedia.org/resource/Time_in_Brazil
facebook;48;Female;Master's degree;Germany;97;http://dbpedia.org/resource/Facebook
google;48;Female;Master's degree;Germany;97;http://dbpedia.org/resource/Google
amazon;48;Female;Master's degree;Germany;97;http://dbpedia.org/resource/Time_in_Brazil
apple;26;Male;Less than a high school degree;Germany;98;http://dbpedia.org/resource/Apple_II
microsoft;26;Male;Less than a high school degree;Germany;98;http://dbpedia.org/resource/Microsoft_Windows
google;26;Male;Less than a high school degree;Germany;98;http://dbpedia.org/resource/Google
meta;26;Female;High school degree or equivalent;Germany;99;http://dbpedia.org/resource/Heavy_metal_music
apple;26;Female;High school degree or equivalent;Germany;99;http://dbpedia.org/resource/Apple_II
microsoft;26;Female;High school degree or equivalent;Germany;99;http://dbpedia.org/resource/Microsoft_Windows
microsoft;45;Female;Bachelor's degree;USA;100;http://dbpedia.org/resource/Microsoft_Windows
verizon;45;Female;Bachelor's degree;USA;100;http://dbpedia.org/resource/Verizon_Communications
netflix;45;Female;Bachelor's degree;USA;100;http://dbpedia.org/resource/Netflix
apple;23;Female;Master's degree;England;101;http://dbpedia.org/resource/Apple_II
amazon;23;Female;Master's degree;England;101;http://dbpedia.org/resource/Time_in_Brazil
microsoft;23;Female;Master's degree;England;101;http://dbpedia.org/resource/Microsoft_Windows
apple;26;Female;Bachelor's degree;Germany;102;http://dbpedia.org/resource/Apple_II
microsoft;26;Female;Bachelor's degree;Germany;102;http://dbpedia.org/resource/Microsoft_Windows
amazon;26;Female;Bachelor's degree;Germany;102;http://dbpedia.org/resource/Time_in_Brazil
apple;70;Female;Master's degree;Germany;103;http://dbpedia.org/resource/Apple_II
microsoft;70;Female;Master's degree;Germany;103;http://dbpedia.org/resource/Microsoft_Windows
netflix;70;Female;Master's degree;Germany;103;http://dbpedia.org/resource/Netflix
ibm;33;Female;Master's degree;Iran;104;http://dbpedia.org/resource/IBM
google;33;Female;Master's degree;Iran;104;http://dbpedia.org/resource/Google
microsoft;33;Female;Master's degree;Iran;104;http://dbpedia.org/resource/Microsoft_Windows
apple;59;Male;Doctorate (e.g. PhD);Germany;105;http://dbpedia.org/resource/Apple_II
google;59;Male;Doctorate (e.g. PhD);Germany;105;http://dbpedia.org/resource/Google
tesla;59;Male;Doctorate (e.g. PhD);Germany;105;http://dbpedia.org/resource/Tesla,_Inc.
google;47;Female;Doctorate (e.g. PhD);Germany;106;http://dbpedia.org/resource/Google
apple;47;Female;Doctorate (e.g. PhD);Germany;106;http://dbpedia.org/resource/Apple_II
microsoft;47;Female;Doctorate (e.g. PhD);Germany;106;http://dbpedia.org/resource/Microsoft_Windows
