uri;birds;p_age;p_gender;p_education;p_country;p_id
http://dbpedia.org/resource/Common_blackbird;blackbird;48;Female;Diplom;germany;97
http://dbpedia.org/resource/Sparrow;sparrow;48;Female;Diplom;germany;97
http://dbpedia.org/resource/Tit_(bird);tit;48;Female;Diplom;germany;97
http://dbpedia.org/resource/Falcon;falcon;26;Male;Less than a high school degree;germany;98
http://dbpedia.org/resource/Parrot;parrot;26;Male;Less than a high school degree;germany;98
http://dbpedia.org/resource/Eagle;eagle;26;Male;Less than a high school degree;germany;98
http://dbpedia.org/resource/Owl;owl;26;Female;High school degree or equivalent;germany;99
http://dbpedia.org/resource/Raven;raven;26;Female;High school degree or equivalent;germany;99
http://dbpedia.org/resource/Hummingbird;hummingbird;26;Female;High school degree or equivalent;germany;99
http://dbpedia.org/resource/Cardinal_(bird);cardinal;45;Female;Bachelor's degree;usa;100
http://dbpedia.org/resource/Robin;robin;45;Female;Bachelor's degree;usa;100
http://dbpedia.org/resource/Wren;wren;45;Female;Bachelor's degree;usa;100
http://dbpedia.org/resource/Magpie;magpie;23;Female;Master's degree;england;101
http://dbpedia.org/resource/Crow;crow;23;Female;Master's degree;england;101
http://dbpedia.org/resource/Robin;robin;23;Female;Master's degree;england;101
http://dbpedia.org/resource/Gull;seagull;26;Female;Bachelor's degree;germany;102
http://dbpedia.org/resource/Robin;robin;26;Female;Bachelor's degree;germany;102
http://dbpedia.org/resource/Sparrow;sparrow;26;Female;Bachelor's degree;germany;102
http://dbpedia.org/resource/Eagle;eagle;70;Female;Dipl.-Ing.;germany;103
http://dbpedia.org/resource/Swallow;swallow;70;Female;Dipl.-Ing.;germany;103
http://dbpedia.org/resource/Columbidae;pigeon;70;Female;Dipl.-Ing.;germany;103
http://dbpedia.org/resource/Chicken;chicken;33;Female;Master's degree;iran;104
http://dbpedia.org/resource/Sparrow;sparrow;33;Female;Master's degree;iran;104
http://dbpedia.org/resource/Chicken;rooster;33;Female;Master's degree;iran;104
http://dbpedia.org/resource/Eagle;eagle;59;Male;Doctorate (e.g. PhD);germany;105
http://dbpedia.org/resource/Common_nightingale;nightingale;59;Male;Doctorate (e.g. PhD);germany;105
http://dbpedia.org/resource/Gull;seagull;59;Male;Doctorate (e.g. PhD);germany;105
http://dbpedia.org/resource/Thrush_(bird);thrush;47;Female;Doctorate (e.g. PhD);germany;106
http://dbpedia.org/resource/Crow;crow;47;Female;Doctorate (e.g. PhD);germany;106
http://dbpedia.org/resource/Stork;stork;47;Female;Doctorate (e.g. PhD);germany;106
http://dbpedia.org/resource/Sparrow;sparrow;50;Female;Doctorate (e.g. PhD);germany;107
http://dbpedia.org/resource/Eagle;eagle;50;Female;Doctorate (e.g. PhD);germany;107
http://dbpedia.org/resource/Falcon;falcon;50;Female;Doctorate (e.g. PhD);germany;107
http://dbpedia.org/resource/Flamingo;flamingo;45;Female;Doctorate (e.g. PhD);germany;108
http://dbpedia.org/resource/Swan;swan;45;Female;Doctorate (e.g. PhD);germany;108
http://dbpedia.org/resource/Raven;raven;45;Female;Doctorate (e.g. PhD);germany;108
