uri;continents;p_age;p_gender;p_education;p_country;p_id
http://dbpedia.org/resource/Asia;asia;70;Female;Dipl.-Ing.;germany;103
http://dbpedia.org/resource/Africa;africa;70;Female;Dipl.-Ing.;germany;103
http://dbpedia.org/resource/Asia;asia;33;Female;Master's degree;iran;104
http://dbpedia.org/resource/Africa;africa;33;Female;Master's degree;iran;104
http://dbpedia.org/resource/Europe;europe;33;Female;Master's degree;iran;104
http://dbpedia.org/resource/Asia;asia;59;Male;Doctorate (e.g. PhD);germany;105
http://dbpedia.org/resource/Europe;europe;59;Male;Doctorate (e.g. PhD);germany;105
http://dbpedia.org/resource/Africa;africa;59;Male;Doctorate (e.g. PhD);germany;105
http://dbpedia.org/resource/Europe;europe;47;Female;Doctorate (e.g. PhD);germany;106
http://dbpedia.org/resource/Asia;asia;47;Female;Doctorate (e.g. PhD);germany;106
http://dbpedia.org/resource/Australia_(continent);australia;47;Female;Doctorate (e.g. PhD);germany;106
http://dbpedia.org/resource/Asia;asia;50;Female;Doctorate (e.g. PhD);germany;107
http://dbpedia.org/resource/Europe;europe;50;Female;Doctorate (e.g. PhD);germany;107
http://dbpedia.org/resource/Africa;africa;50;Female;Doctorate (e.g. PhD);germany;107
http://dbpedia.org/resource/Asia;asia;45;Female;Doctorate (e.g. PhD);germany;108
http://dbpedia.org/resource/North_America;north america;45;Female;Doctorate (e.g. PhD);germany;108
http://dbpedia.org/resource/Europe;europe;45;Female;Doctorate (e.g. PhD);germany;108
