"fur","name"
"http://dbpedia.org/resource/Floyd_Ebaugh","Floyd Ebaugh"
"http://dbpedia.org/resource/Blau_gas","Blau gas"
"http://dbpedia.org/resource/Buoyancy_compensator_(aviation)","Buoyancy compensator (aviation)"
"http://dbpedia.org/resource/Burnout_(vehicle)","Burnout (vehicle)"
"http://dbpedia.org/resource/New_Pillow_Fight","New Pillow Fight"
"http://dbpedia.org/resource/Nick_Frascella","Nick Frascella"
"http://dbpedia.org/resource/Nina_Petronzio","Nina Petronzio"
"http://dbpedia.org/resource/Nishihara_Station","Nishihara Station"
"http://dbpedia.org/resource/Norge_(airship)","Norge (airship)"
"http://dbpedia.org/resource/Norman_Teague","Norman Teague"
"http://dbpedia.org/resource/Carl_Edgar_Myers","Carl Edgar Myers"
"http://dbpedia.org/resource/Umberto_Nobile","Umberto Nobile"
"http://dbpedia.org/resource/Uniroyal_Giant_Tire","Uniroyal Giant Tire"
"http://dbpedia.org/resource/Up_(2009_film)","Up (2009 film)"
"http://dbpedia.org/resource/Ushita_Station","Ushita Station"
"http://dbpedia.org/resource/Italia_(airship)","Italia (airship)"
"http://dbpedia.org/resource/James_Thompson_(designer)","James Thompson (designer)"
"http://dbpedia.org/resource/Paul_Jaray","Paul Jaray"
"http://dbpedia.org/resource/Tire_iron","Tire iron"
"http://dbpedia.org/resource/Walrus_HULA","Walrus HULA"
"http://dbpedia.org/resource/High-altitude_platform_station","High-altitude platform station"
"http://dbpedia.org/resource/High_place","High place"
"http://dbpedia.org/resource/Herts_Brothers","Herts Brothers"
"http://dbpedia.org/resource/List_of_airships_of_the_United_States_Navy","List of airships of the United States Navy"
"http://dbpedia.org/resource/List_of_Zodiac_airships","List of Zodiac airships"
"http://dbpedia.org/resource/List_of_current_airships_in_the_United_States","List of current airships in the United States"
"http://dbpedia.org/resource/The_Haas_Brothers_(artists)","The Haas Brothers (artists)"
"http://dbpedia.org/resource/Breath_of_Fire_II","Breath of Fire II"
"http://dbpedia.org/resource/Brian_Bell_(basketball)","Brian Bell (basketball)"
"http://dbpedia.org/resource/British_Army_Dirigible_No_1","British Army Dirigible No 1"
"http://dbpedia.org/resource/CDGVAL","CDGVAL"
"http://dbpedia.org/resource/Caprioli_Adoration","Caprioli Adoration"
"http://dbpedia.org/resource/Cardington_Airfield","Cardington Airfield"
"http://dbpedia.org/resource/Carol_Rymer_Davis","Carol Rymer Davis"
"http://dbpedia.org/resource/Carter_Arey","Carter Arey"
"http://dbpedia.org/resource/Castle_in_the_Sky","Castle in the Sky"
"http://dbpedia.org/resource/Christina_Schwab","Christina Schwab"
"http://dbpedia.org/resource/Chrono_Trigger","Chrono Trigger"
"http://dbpedia.org/resource/Chuck_Bloedorn","Chuck Bloedorn"
"http://dbpedia.org/resource/Chōrakuji_Station","Chōrakuji Station"
"http://dbpedia.org/resource/Cleo_Baldon","Cleo Baldon"
"http://dbpedia.org/resource/Colourscape","Colourscape"
"http://dbpedia.org/resource/Cromwell_Dixon","Cromwell Dixon"
