music_genres;p_age;p_gender;p_education;p_country;p_id;uri
house;27;Female;Master's degree;Germany;89;http://dbpedia.org/resource/House_music
rap;25;Male;Bachelor's degree;Germany;90;http://dbpedia.org/resource/Hip_hop_music
rock;25;Male;Bachelor's degree;Germany;90;http://dbpedia.org/resource/Rock_music
pop;25;Male;Bachelor's degree;Germany;90;http://dbpedia.org/resource/Pop_music
techno;25;Male;High school degree or equivalent;Germany;91;http://dbpedia.org/resource/Techno
house;25;Male;High school degree or equivalent;Germany;91;http://dbpedia.org/resource/House_music
heavy metal;25;Male;High school degree or equivalent;Germany;91;http://dbpedia.org/resource/Heavy_metal_music
r&b;28;Male;High school degree or equivalent;Germany;92;http://dbpedia.org/resource/Rhythm_and_blues
techno;28;Male;High school degree or equivalent;Germany;92;http://dbpedia.org/resource/Techno
rap;28;Male;High school degree or equivalent;Germany;92;http://dbpedia.org/resource/Hip_hop_music
pop;47;Female;Bachelor's degree;England;93;http://dbpedia.org/resource/Pop_music
rock;47;Female;Bachelor's degree;England;93;http://dbpedia.org/resource/Rock_music
classic;47;Female;Bachelor's degree;England;93;http://dbpedia.org/resource/Classical_music
hip hop;38;Male;Bachelor's degree;Germany;94;http://dbpedia.org/resource/Hip_hop_music
metal;38;Male;Bachelor's degree;Germany;94;http://dbpedia.org/resource/Heavy_metal_music
jazz;38;Male;Bachelor's degree;Germany;94;http://dbpedia.org/resource/Jazz
barroco;40;Female;Bachelor's degree;China;95;http://dbpedia.org/resource/Baroque
classicism;40;Female;Bachelor's degree;China;95;http://dbpedia.org/resource/Classical_music
romance;40;Female;Bachelor's degree;China;95;http://dbpedia.org/resource/Romance_(music)
pop;28;Female;High school degree or equivalent;Pakistan;96;http://dbpedia.org/resource/Pop_music
rock;28;Female;High school degree or equivalent;Pakistan;96;http://dbpedia.org/resource/Rock_music
hip hop;28;Female;High school degree or equivalent;Pakistan;96;http://dbpedia.org/resource/Hip_hop_music
pop;48;Female;Master's degree;Germany;97;http://dbpedia.org/resource/Pop_music
rock;48;Female;Master's degree;Germany;97;http://dbpedia.org/resource/Rock_music
hiphop;48;Female;Master's degree;Germany;97;http://dbpedia.org/resource/Hip_hop_music
r&b;26;Male;Less than a high school degree;Germany;98;http://dbpedia.org/resource/Rhythm_and_blues
pop;26;Male;Less than a high school degree;Germany;98;http://dbpedia.org/resource/Pop_music
