fast_food;p_age;p_gender;p_education;p_country;p_id;uri
hamburger;23;Male;Bachelor's degree;germany;73;http://dbpedia.org/resource/Hamburger
kebab;23;Male;Bachelor's degree;germany;73;http://dbpedia.org/resource/Kebab
hot dog;23;Male;Bachelor's degree;germany;73;http://dbpedia.org/resource/Hot_dog
hamburger;27;Male;Master's degree;germany;74;http://dbpedia.org/resource/Hamburger
taco;27;Male;Master's degree;germany;74;http://dbpedia.org/resource/Taco
chick nuggets;27;Male;Master's degree;germany;74;http://dbpedia.org/resource/Chicken_nugget
nachos;25;Male;Bachelor's degree;germany;75;http://dbpedia.org/resource/Nachos
burrito;25;Male;Bachelor's degree;germany;75;http://dbpedia.org/resource/Burrito
hamburger;25;Male;Bachelor's degree;germany;75;http://dbpedia.org/resource/Hamburger
hamburger;27;Female;Master's degree;germany;76;http://dbpedia.org/resource/Hamburger
french fries;27;Female;Master's degree;germany;76;http://dbpedia.org/resource/French_fries
pizza;27;Female;Master's degree;germany;76;http://dbpedia.org/resource/Pizza
taco;51;Male;High school degree or equivalent;germany;77;http://dbpedia.org/resource/Taco
pizza;51;Male;High school degree or equivalent;germany;77;http://dbpedia.org/resource/Pizza
icecream;51;Male;High school degree or equivalent;germany;77;http://dbpedia.org/resource/Ice_cream
hamburger;26;Male;High school degree or equivalent;germany;78;http://dbpedia.org/resource/Hamburger
pizza;26;Male;High school degree or equivalent;germany;78;http://dbpedia.org/resource/Pizza
asian;26;Male;High school degree or equivalent;germany;78;NaN
french fries;27;Male;Bachelor's degree;germany;79;http://dbpedia.org/resource/French_fries
hamburger;27;Male;Bachelor's degree;germany;79;http://dbpedia.org/resource/Hamburger
pizza;27;Male;Bachelor's degree;germany;79;http://dbpedia.org/resource/Pizza
hamburger;25;Male;Master's degree;germany;80;http://dbpedia.org/resource/Hamburger
pizza;25;Male;Master's degree;germany;80;http://dbpedia.org/resource/Pizza
sandwich;25;Male;Master's degree;germany;80;http://dbpedia.org/resource/Sandwich
hamburger;25;Male;Bachelor's degree;germany;81;http://dbpedia.org/resource/Hamburger
sushi;25;Male;Bachelor's degree;germany;81;http://dbpedia.org/resource/Sushi
taco;25;Male;Bachelor's degree;germany;81;http://dbpedia.org/resource/Taco
hamburger;21;Male;High school degree or equivalent;germany;82;http://dbpedia.org/resource/Hamburger
hot dog;21;Male;High school degree or equivalent;germany;82;http://dbpedia.org/resource/Hot_dog
