birds;p_age;p_gender;p_education;p_country;p_id;uri
hummingbird;26;Female;High school degree or equivalent;germany;99;http://dbpedia.org/resource/Hummingbird
cardinal;45;Female;Bachelor's degree;usa;100;http://dbpedia.org/resource/Cardinal_(bird)
robin;45;Female;Bachelor's degree;usa;100;http://dbpedia.org/resource/Robin
wren;45;Female;Bachelor's degree;usa;100;http://dbpedia.org/resource/Wren
magpie;23;Female;Master's degree;england;101;http://dbpedia.org/resource/Magpie
crow;23;Female;Master's degree;england;101;http://dbpedia.org/resource/Crow
robin;23;Female;Master's degree;england;101;http://dbpedia.org/resource/Robin
seagull;26;Female;Bachelor's degree;germany;102;http://dbpedia.org/resource/Gull
robin;26;Female;Bachelor's degree;germany;102;http://dbpedia.org/resource/Robin
sparrow;26;Female;Bachelor's degree;germany;102;http://dbpedia.org/resource/Sparrow
eagle;70;Female;Dipl.-Ing.;germany;103;http://dbpedia.org/resource/Eagle
swallow;70;Female;Dipl.-Ing.;germany;103;http://dbpedia.org/resource/Swallow
pigeon;70;Female;Dipl.-Ing.;germany;103;http://dbpedia.org/resource/Columbidae
chicken;33;Female;Master's degree;iran;104;http://dbpedia.org/resource/Chicken
sparrow;33;Female;Master's degree;iran;104;http://dbpedia.org/resource/Sparrow
rooster;33;Female;Master's degree;iran;104;http://dbpedia.org/resource/Chicken
eagle;59;Male;Doctorate (e.g. PhD);germany;105;http://dbpedia.org/resource/Eagle
nightingale;59;Male;Doctorate (e.g. PhD);germany;105;http://dbpedia.org/resource/Common_nightingale
seagull;59;Male;Doctorate (e.g. PhD);germany;105;http://dbpedia.org/resource/Gull
thrush;47;Female;Doctorate (e.g. PhD);germany;106;http://dbpedia.org/resource/Thrush_(bird)
crow;47;Female;Doctorate (e.g. PhD);germany;106;http://dbpedia.org/resource/Crow
stork;47;Female;Doctorate (e.g. PhD);germany;106;http://dbpedia.org/resource/Stork
sparrow;50;Female;Doctorate (e.g. PhD);germany;107;http://dbpedia.org/resource/Sparrow
eagle;50;Female;Doctorate (e.g. PhD);germany;107;http://dbpedia.org/resource/Eagle
falcon;50;Female;Doctorate (e.g. PhD);germany;107;http://dbpedia.org/resource/Falcon
flamingo;45;Female;Doctorate (e.g. PhD);germany;108;http://dbpedia.org/resource/Flamingo
swan;45;Female;Doctorate (e.g. PhD);germany;108;http://dbpedia.org/resource/Swan
raven;45;Female;Doctorate (e.g. PhD);germany;108;http://dbpedia.org/resource/Raven
