asian_countries;p_age;p_gender;p_education;p_country;p_id;uri
china;38;Male;Bachelor's degree;germany;94;http://dbpedia.org/resource/China
india;38;Male;Bachelor's degree;germany;94;http://dbpedia.org/resource/India
china;40;Female;Bachelor's degree;china;95;http://dbpedia.org/resource/China
japan;40;Female;Bachelor's degree;china;95;http://dbpedia.org/resource/Japan
south korea;40;Female;Bachelor's degree;china;95;http://dbpedia.org/resource/South_Korea
china;28;Female;High school degree or equivalent;pakistan;96;http://dbpedia.org/resource/China
russia;28;Female;High school degree or equivalent;pakistan;96;http://dbpedia.org/resource/Russia
pakistan;28;Female;High school degree or equivalent;pakistan;96;http://dbpedia.org/resource/Pakistan
china;48;Female;Diplom;germany;97;http://dbpedia.org/resource/China
russia;48;Female;Diplom;germany;97;http://dbpedia.org/resource/Russia
japan;48;Female;Diplom;germany;97;http://dbpedia.org/resource/Japan
japan;26;Male;Less than a high school degree;germany;98;http://dbpedia.org/resource/Japan
india;26;Male;Less than a high school degree;germany;98;http://dbpedia.org/resource/India
nepal;26;Male;Less than a high school degree;germany;98;http://dbpedia.org/resource/Nepal
thailand;26;Female;High school degree or equivalent;germany;99;http://dbpedia.org/resource/Thailand
india;26;Female;High school degree or equivalent;germany;99;http://dbpedia.org/resource/India
russia;26;Female;High school degree or equivalent;germany;99;http://dbpedia.org/resource/Russia
india;45;Female;Bachelor's degree;usa;100;http://dbpedia.org/resource/India
china;45;Female;Bachelor's degree;usa;100;http://dbpedia.org/resource/China
turkey;45;Female;Bachelor's degree;usa;100;http://dbpedia.org/resource/Turkey
thailand;23;Female;Master's degree;england;101;http://dbpedia.org/resource/Thailand
cambodia;23;Female;Master's degree;england;101;http://dbpedia.org/resource/Cambodia
japan;23;Female;Master's degree;england;101;http://dbpedia.org/resource/Japan
thailand;26;Female;Bachelor's degree;germany;102;http://dbpedia.org/resource/Thailand
japan;26;Female;Bachelor's degree;germany;102;http://dbpedia.org/resource/Japan
thailand;70;Female;Dipl.-Ing.;germany;103;http://dbpedia.org/resource/Thailand
china;70;Female;Dipl.-Ing.;germany;103;http://dbpedia.org/resource/China
india;70;Female;Dipl.-Ing.;germany;103;http://dbpedia.org/resource/India
iran;33;Female;Master's degree;iran;104;http://dbpedia.org/resource/Iran
japan;33;Female;Master's degree;iran;104;http://dbpedia.org/resource/Japan
south korea;33;Female;Master's degree;iran;104;http://dbpedia.org/resource/South_Korea
china;59;Male;Doctorate (e.g. PhD);germany;105;http://dbpedia.org/resource/China
south korea;59;Male;Doctorate (e.g. PhD);germany;105;http://dbpedia.org/resource/South_Korea
vietnam;59;Male;Doctorate (e.g. PhD);germany;105;http://dbpedia.org/resource/Vietnam
mongolia;47;Female;Doctorate (e.g. PhD);germany;106;http://dbpedia.org/resource/Mongolia
china;47;Female;Doctorate (e.g. PhD);germany;106;http://dbpedia.org/resource/China
india;47;Female;Doctorate (e.g. PhD);germany;106;http://dbpedia.org/resource/India
china;50;Female;Doctorate (e.g. PhD);germany;107;http://dbpedia.org/resource/China
south korea;50;Female;Doctorate (e.g. PhD);germany;107;http://dbpedia.org/resource/South_Korea
japan;50;Female;Doctorate (e.g. PhD);germany;107;http://dbpedia.org/resource/Japan
china;45;Female;Doctorate (e.g. PhD);germany;108;http://dbpedia.org/resource/China
vietnam;45;Female;Doctorate (e.g. PhD);germany;108;http://dbpedia.org/resource/Vietnam
indonesia;45;Female;Doctorate (e.g. PhD);germany;108;http://dbpedia.org/resource/Indonesia
