us_presidents;p_age;p_gender;p_education;p_country;p_id;uri
biden;27;Female;Master's degree;Germany;89;http://dbpedia.org/resource/Joe_Biden
trump;25;Male;Bachelor's degree;Germany;90;http://dbpedia.org/resource/Donald_Trump
kennedy;25;Male;Bachelor's degree;Germany;90;http://dbpedia.org/resource/John_F._Kennedy
lincoln;25;Male;Bachelor's degree;Germany;90;http://dbpedia.org/resource/Abraham_Lincoln
barack obama;25;Male;High school degree or equivalent;Germany;91;http://dbpedia.org/resource/Barack_Obama
joe biden;25;Male;High school degree or equivalent;Germany;91;http://dbpedia.org/resource/Joe_Biden
george w. bush;25;Male;High school degree or equivalent;Germany;91;http://dbpedia.org/resource/George_W._Bush
barack obama;28;Male;High school degree or equivalent;Germany;92;http://dbpedia.org/resource/Barack_Obama
donald trump;28;Male;High school degree or equivalent;Germany;92;http://dbpedia.org/resource/Donald_Trump
joe biden;28;Male;High school degree or equivalent;Germany;92;http://dbpedia.org/resource/Joe_Biden
barack obama;47;Female;Bachelor's degree;England;93;http://dbpedia.org/resource/Barack_Obama
joe biden;47;Female;Bachelor's degree;England;93;http://dbpedia.org/resource/Joe_Biden
george bush;47;Female;Bachelor's degree;England;93;http://dbpedia.org/resource/George_W._Bush
barrack obama;38;Male;Bachelor's degree;Germany;94;http://dbpedia.org/resource/Barack_Obama
abraham lincoln;38;Male;Bachelor's degree;Germany;94;http://dbpedia.org/resource/Abraham_Lincoln
george washington;38;Male;Bachelor's degree;Germany;94;http://dbpedia.org/resource/George_Washington
trump;40;Female;Bachelor's degree;China;95;http://dbpedia.org/resource/Donald_Trump
obama;40;Female;Bachelor's degree;China;95;http://dbpedia.org/resource/Barack_Obama
roosevelt;40;Female;Bachelor's degree;China;95;http://dbpedia.org/resource/Franklin_D._Roosevelt
bush;28;Female;High school degree or equivalent;Pakistan;96;http://dbpedia.org/resource/George_W._Bush
trump;28;Female;High school degree or equivalent;Pakistan;96;http://dbpedia.org/resource/Donald_Trump
biden;28;Female;High school degree or equivalent;Pakistan;96;http://dbpedia.org/resource/Joe_Biden
biden;48;Female;Master's degree;Germany;97;http://dbpedia.org/resource/Joe_Biden
obama;48;Female;Master's degree;Germany;97;http://dbpedia.org/resource/Barack_Obama
trump;48;Female;Master's degree;Germany;97;http://dbpedia.org/resource/Donald_Trump
barack obama;26;Male;Less than a high school degree;Germany;98;http://dbpedia.org/resource/Barack_Obama
john f. kennedy;26;Male;Less than a high school degree;Germany;98;http://dbpedia.org/resource/John_F._Kennedy
abraham lincoln;26;Male;Less than a high school degree;Germany;98;http://dbpedia.org/resource/Abraham_Lincoln
lincoln;26;Female;High school degree or equivalent;Germany;99;http://dbpedia.org/resource/Abraham_Lincoln
bush;26;Female;High school degree or equivalent;Germany;99;http://dbpedia.org/resource/George_W._Bush
obama;26;Female;High school degree or equivalent;Germany;99;http://dbpedia.org/resource/Barack_Obama
washington;45;Female;Bachelor's degree;USA;100;http://dbpedia.org/resource/George_Washington
lincoln;45;Female;Bachelor's degree;USA;100;http://dbpedia.org/resource/Abraham_Lincoln
kennedy;45;Female;Bachelor's degree;USA;100;http://dbpedia.org/resource/John_F._Kennedy
trump;23;Female;Master's degree;England;101;http://dbpedia.org/resource/Donald_Trump
biden;23;Female;Master's degree;England;101;http://dbpedia.org/resource/Joe_Biden
kennedy;23;Female;Master's degree;England;101;http://dbpedia.org/resource/John_F._Kennedy
biden;26;Female;Bachelor's degree;Germany;102;http://dbpedia.org/resource/Joe_Biden
bush;26;Female;Bachelor's degree;Germany;102;http://dbpedia.org/resource/George_W._Bush
kennedy;26;Female;Bachelor's degree;Germany;102;http://dbpedia.org/resource/John_F._Kennedy
lincoln;70;Female;Master's degree;Germany;103;http://dbpedia.org/resource/Abraham_Lincoln
kennedy;70;Female;Master's degree;Germany;103;http://dbpedia.org/resource/John_F._Kennedy
