us_companies;p_age;p_gender;p_education;p_country;p_id;uri
apple;27;Female;Master's degree;Germany;76;http://dbpedia.org/resource/Apple_Inc.
amazon;27;Female;Master's degree;Germany;76;http://dbpedia.org/resource/Amazon_(company)
tesla;27;Female;Master's degree;Germany;76;http://dbpedia.org/resource/Tesla,_Inc.
walmart;51;Male;High school degree or equivalent;Germany;77;http://dbpedia.org/resource/Walmart
amazon;51;Male;High school degree or equivalent;Germany;77;http://dbpedia.org/resource/Amazon_(company)
apple;51;Male;High school degree or equivalent;Germany;77;http://dbpedia.org/resource/Apple_Inc.
apple;26;Male;High school degree or equivalent;Germany;78;http://dbpedia.org/resource/Apple_Inc.
amazon;26;Male;High school degree or equivalent;Germany;78;http://dbpedia.org/resource/Amazon_(company)
tesla;26;Male;High school degree or equivalent;Germany;78;http://dbpedia.org/resource/Tesla,_Inc.
facebook;27;Male;Bachelor's degree;Germany;79;http://dbpedia.org/resource/Facebook
apple;27;Male;Bachelor's degree;Germany;79;http://dbpedia.org/resource/Apple_Inc.
google;27;Male;Bachelor's degree;Germany;79;http://dbpedia.org/resource/Google
google;25;Male;Master's degree;Germany;80;http://dbpedia.org/resource/Google
facebook;25;Male;Master's degree;Germany;80;http://dbpedia.org/resource/Facebook
apple;25;Male;Bachelor's degree;Germany;81;http://dbpedia.org/resource/Apple_Inc.
berkshire hathaway;25;Male;Bachelor's degree;Germany;81;http://dbpedia.org/resource/Berkshire_Hathaway
tesla;25;Male;Bachelor's degree;Germany;81;http://dbpedia.org/resource/Tesla,_Inc.
tesla;21;Male;High school degree or equivalent;Germany;82;http://dbpedia.org/resource/Tesla,_Inc.
alphabet;21;Male;High school degree or equivalent;Germany;82;http://dbpedia.org/resource/Alphabet_Inc.
apple;21;Male;High school degree or equivalent;Germany;82;http://dbpedia.org/resource/Apple_Inc.
apple;23;Female;Bachelor's degree;Germany;83;http://dbpedia.org/resource/Apple_Inc.
microsoft;23;Female;Bachelor's degree;Germany;83;http://dbpedia.org/resource/Microsoft
apple;28;Female;Master's degree;Germany;84;http://dbpedia.org/resource/Apple_Inc.
levis;28;Female;Master's degree;Germany;84;http://dbpedia.org/resource/Levi_Strauss_&_Co.
amazon;28;Female;Master's degree;Germany;84;http://dbpedia.org/resource/Amazon_(company)
apple;25;Female;Master's degree;Germany;85;http://dbpedia.org/resource/Apple_Inc.
apple;25;Female;Bachelor's degree;Russia;86;http://dbpedia.org/resource/Apple_Inc.
google;25;Female;Bachelor's degree;Russia;86;http://dbpedia.org/resource/Google
amazon;25;Female;Bachelor's degree;Russia;86;http://dbpedia.org/resource/Amazon_(company)
apple;24;Female;High school degree or equivalent;Germany;87;http://dbpedia.org/resource/Apple_Inc.
walmart;24;Female;High school degree or equivalent;Germany;87;http://dbpedia.org/resource/Walmart
amazon;24;Female;High school degree or equivalent;Germany;87;http://dbpedia.org/resource/Amazon_(company)
google;26;Male;Bachelor's degree;Germany;88;http://dbpedia.org/resource/Google
amazon;26;Male;Bachelor's degree;Germany;88;http://dbpedia.org/resource/Amazon_(company)
microsoft;26;Male;Bachelor's degree;Germany;88;http://dbpedia.org/resource/Microsoft
apple;27;Female;Master's degree;Germany;89;http://dbpedia.org/resource/Apple_Inc.
amazon;27;Female;Master's degree;Germany;89;http://dbpedia.org/resource/Amazon_(company)
