"bird","name"
"http://dbpedia.org/resource/Sprat's_Water_and_Marshes,_Carlton_Colville","Sprat's Water and Marshes, Carlton Colville"
"http://dbpedia.org/resource/Straight_Shooters","Straight Shooters"
"http://dbpedia.org/resource/Test_Pilot_Donald","Test Pilot Donald"
"http://dbpedia.org/resource/The_Eyes_Have_It_(film)","The Eyes Have It (film)"
"http://dbpedia.org/resource/The_Flying_Jalopy","The Flying Jalopy"
"http://dbpedia.org/resource/The_Flying_Squirrel","The Flying Squirrel"
"http://dbpedia.org/resource/The_Greener_Yard","The Greener Yard"
"http://dbpedia.org/resource/The_Hockey_Champ","The Hockey Champ"
"http://dbpedia.org/resource/The_New_Neighbor","The New Neighbor"
"http://dbpedia.org/resource/The_Riveter","The Riveter"
"http://dbpedia.org/resource/The_Village_Smithy","The Village Smithy"
"http://dbpedia.org/resource/The_Volunteer_Worker","The Volunteer Worker"
"http://dbpedia.org/resource/Trailer_Horn","Trailer Horn"
"http://dbpedia.org/resource/Uncle_Donald's_Ants","Uncle Donald's Ants"
"http://dbpedia.org/resource/Upper_Orashi_Forest_Reserve","Upper Orashi Forest Reserve"
"http://dbpedia.org/resource/Wet_Paint_(1946_film)","Wet Paint (1946 film)"
"http://dbpedia.org/resource/Window_Cleaners","Window Cleaners"
"http://dbpedia.org/resource/Avian_sarcoma_leukosis_virus","Avian sarcoma leukosis virus"
"http://dbpedia.org/resource/Bahamas_National_Trust","Bahamas National Trust"
"http://dbpedia.org/resource/Pacific_robin","Pacific robin"
"http://dbpedia.org/resource/Antwerp_Smerle","Antwerp Smerle"
"http://dbpedia.org/resource/Australian_Saddleback_Tumbler","Australian Saddleback Tumbler"
"http://dbpedia.org/resource/Carneau","Carneau"
"http://dbpedia.org/resource/Dragoon_pigeon","Dragoon pigeon"
"http://dbpedia.org/resource/Fowl_cholera","Fowl cholera"
"http://dbpedia.org/resource/Giant_Runt","Giant Runt"
"http://dbpedia.org/resource/Himalayan_cutia","Himalayan cutia"
"http://dbpedia.org/resource/Ice_pigeon","Ice pigeon"
"http://dbpedia.org/resource/King_pigeon","King pigeon"
"http://dbpedia.org/resource/Modena_pigeon","Modena pigeon"
"http://dbpedia.org/resource/Russet_bush_warbler","Russet bush warbler"
"http://dbpedia.org/resource/Réunion_fody","Réunion fody"
"http://dbpedia.org/resource/Derek_Goodwin","Derek Goodwin"
"http://dbpedia.org/resource/French_Mondain","French Mondain"
"http://dbpedia.org/resource/Viti_Levu_snipe","Viti Levu snipe"
"http://dbpedia.org/resource/Elon_Howard_Eaton","Elon Howard Eaton"
"http://dbpedia.org/resource/Ethiopian_boubou","Ethiopian boubou"
"http://dbpedia.org/resource/Grey_nightjar","Grey nightjar"
"http://dbpedia.org/resource/Martinique_macaw","Martinique macaw"
"http://dbpedia.org/resource/Western_red-billed_hornbill","Western red-billed hornbill"
"http://dbpedia.org/resource/Bal-chatri","Bal-chatri"
"http://dbpedia.org/resource/Christmas_thrush","Christmas thrush"
"http://dbpedia.org/resource/List_of_gadfly_petrels","List of gadfly petrels"
"http://dbpedia.org/resource/Tasmanian_masked_owl","Tasmanian masked owl"
"http://dbpedia.org/resource/Ceratophyllinae","Ceratophyllinae"
"http://dbpedia.org/resource/Clover_Club_Cocktail","Clover Club Cocktail"
"http://dbpedia.org/resource/Dactylopsyllinae","Dactylopsyllinae"
"http://dbpedia.org/resource/Harold_Hall_Australian_expeditions","Harold Hall Australian expeditions"
"http://dbpedia.org/resource/James_Macdonald_(ornithologist)","James Macdonald (ornithologist)"
"http://dbpedia.org/resource/Limestone_leaf_warbler","Limestone leaf warbler"
"http://dbpedia.org/resource/Silver-backed_butcherbird","Silver-backed butcherbird"
"http://dbpedia.org/resource/Apii_Piho","Apii Piho"
"http://dbpedia.org/resource/Flycatcher-shrike","Flycatcher-shrike"
"http://dbpedia.org/resource/Nosopsyllus_fasciatus","Nosopsyllus fasciatus"
"http://dbpedia.org/resource/Patagonia_picnic_table_effect","Patagonia picnic table effect"
"http://dbpedia.org/resource/Piho_Rua","Piho Rua"
"http://dbpedia.org/resource/Ryanair_Flight_4102","Ryanair Flight 4102"
"http://dbpedia.org/resource/Valouro","Valouro"
"http://dbpedia.org/resource/1844_in_birding_and_ornithology","1844 in birding and ornithology"
"http://dbpedia.org/resource/1845_in_birding_and_ornithology","1845 in birding and ornithology"
"http://dbpedia.org/resource/1846_in_birding_and_ornithology","1846 in birding and ornithology"
"http://dbpedia.org/resource/1847_in_birding_and_ornithology","1847 in birding and ornithology"
"http://dbpedia.org/resource/1848_in_birding_and_ornithology","1848 in birding and ornithology"
"http://dbpedia.org/resource/1849_in_birding_and_ornithology","1849 in birding and ornithology"
"http://dbpedia.org/resource/1850_in_birding_and_ornithology","1850 in birding and ornithology"
"http://dbpedia.org/resource/1852_in_birding_and_ornithology","1852 in birding and ornithology"
"http://dbpedia.org/resource/1853_in_birding_and_ornithology","1853 in birding and ornithology"
"http://dbpedia.org/resource/BirdLife_Sverige","BirdLife Sverige"
"http://dbpedia.org/resource/Chicken_Milanese","Chicken Milanese"
"http://dbpedia.org/resource/Eduardo_Sousa","Eduardo Sousa"
"http://dbpedia.org/resource/Flippity_and_Flop","Flippity and Flop"
"http://dbpedia.org/resource/Graceanna_Lewis","Graceanna Lewis"
"http://dbpedia.org/resource/Green-backed_trogon","Green-backed trogon"
