"book","name"
"http://dbpedia.org/resource/Lectionary_192","Lectionary 192"
"http://dbpedia.org/resource/Lectionary_193","Lectionary 193"
"http://dbpedia.org/resource/Lectionary_194","Lectionary 194"
"http://dbpedia.org/resource/Lectionary_195","Lectionary 195"
"http://dbpedia.org/resource/Lectionary_196","Lectionary 196"
"http://dbpedia.org/resource/Lectionary_197","Lectionary 197"
"http://dbpedia.org/resource/Lectionary_198","Lectionary 198"
"http://dbpedia.org/resource/Lectionary_199","Lectionary 199"
"http://dbpedia.org/resource/Lectionary_200","Lectionary 200"
"http://dbpedia.org/resource/Lectionary_201","Lectionary 201"
"http://dbpedia.org/resource/Lectionary_202","Lectionary 202"
"http://dbpedia.org/resource/Lectionary_203","Lectionary 203"
"http://dbpedia.org/resource/Lectionary_204","Lectionary 204"
"http://dbpedia.org/resource/Lectionary_205","Lectionary 205"
"http://dbpedia.org/resource/Lectionary_206","Lectionary 206"
"http://dbpedia.org/resource/Lectionary_207","Lectionary 207"
"http://dbpedia.org/resource/Lectionary_208","Lectionary 208"
"http://dbpedia.org/resource/Lectionary_209","Lectionary 209"
"http://dbpedia.org/resource/Lectionary_210","Lectionary 210"
"http://dbpedia.org/resource/Lectionary_211","Lectionary 211"
"http://dbpedia.org/resource/Lectionary_212","Lectionary 212"
"http://dbpedia.org/resource/Lectionary_213","Lectionary 213"
"http://dbpedia.org/resource/Lectionary_214","Lectionary 214"
"http://dbpedia.org/resource/Lectionary_215","Lectionary 215"
"http://dbpedia.org/resource/Lectionary_216","Lectionary 216"
"http://dbpedia.org/resource/Lectionary_217","Lectionary 217"
"http://dbpedia.org/resource/Lectionary_218","Lectionary 218"
"http://dbpedia.org/resource/Lectionary_219","Lectionary 219"
"http://dbpedia.org/resource/Lectionary_220","Lectionary 220"
"http://dbpedia.org/resource/Lectionary_221","Lectionary 221"
"http://dbpedia.org/resource/Lectionary_222","Lectionary 222"
"http://dbpedia.org/resource/Lectionary_223","Lectionary 223"
"http://dbpedia.org/resource/Lectionary_224","Lectionary 224"
"http://dbpedia.org/resource/Lectionary_225","Lectionary 225"
"http://dbpedia.org/resource/Lectionary_226","Lectionary 226"
"http://dbpedia.org/resource/Lectionary_227","Lectionary 227"
"http://dbpedia.org/resource/Lectionary_228","Lectionary 228"
"http://dbpedia.org/resource/Lectionary_229","Lectionary 229"
"http://dbpedia.org/resource/Lectionary_230","Lectionary 230"
"http://dbpedia.org/resource/Lectionary_231","Lectionary 231"
"http://dbpedia.org/resource/Lectionary_232","Lectionary 232"
"http://dbpedia.org/resource/Lectionary_233","Lectionary 233"
"http://dbpedia.org/resource/Lectionary_234","Lectionary 234"
"http://dbpedia.org/resource/Lectionary_235","Lectionary 235"
"http://dbpedia.org/resource/Lectionary_236","Lectionary 236"
"http://dbpedia.org/resource/Lectionary_237","Lectionary 237"
"http://dbpedia.org/resource/Lectionary_238","Lectionary 238"
"http://dbpedia.org/resource/Lectionary_239","Lectionary 239"
"http://dbpedia.org/resource/Lectionary_240","Lectionary 240"
"http://dbpedia.org/resource/Lectionary_241","Lectionary 241"
"http://dbpedia.org/resource/Lectionary_244","Lectionary 244"
"http://dbpedia.org/resource/Lectionary_245","Lectionary 245"
"http://dbpedia.org/resource/Lectionary_246","Lectionary 246"
"http://dbpedia.org/resource/Lectionary_247","Lectionary 247"
"http://dbpedia.org/resource/Lectionary_248","Lectionary 248"
"http://dbpedia.org/resource/Lectionary_249","Lectionary 249"
"http://dbpedia.org/resource/Lectionary_250","Lectionary 250"
"http://dbpedia.org/resource/Lectionary_251","Lectionary 251"
"http://dbpedia.org/resource/Lectionary_252","Lectionary 252"
"http://dbpedia.org/resource/Lectionary_253","Lectionary 253"
"http://dbpedia.org/resource/Lectionary_254","Lectionary 254"
"http://dbpedia.org/resource/Lectionary_255","Lectionary 255"
"http://dbpedia.org/resource/Lectionary_256","Lectionary 256"
"http://dbpedia.org/resource/Lemurs_of_Madagascar_(book)","Lemurs of Madagascar (book)"
"http://dbpedia.org/resource/MTV_Grind_1","MTV Grind 1"
"http://dbpedia.org/resource/Making_Europe_Unconquerable","Making Europe Unconquerable"
"http://dbpedia.org/resource/Malaysian_Certificate_of_Identity","Malaysian Certificate of Identity"
"http://dbpedia.org/resource/Marshallese_passport","Marshallese passport"
"http://dbpedia.org/resource/Mary_Marston","Mary Marston"
"http://dbpedia.org/resource/Memories_Off:_Yubikiri_no_Kioku","Memories Off: Yubikiri no Kioku"
"http://dbpedia.org/resource/Metapedia","Metapedia"
"http://dbpedia.org/resource/Midnight_and_the_Meaning_of_Love","Midnight and the Meaning of Love"
"http://dbpedia.org/resource/Minuscule_2284","Minuscule 2284"
"http://dbpedia.org/resource/Minuscule_546","Minuscule 546"
"http://dbpedia.org/resource/Minuscule_608","Minuscule 608"
"http://dbpedia.org/resource/Minuscule_609","Minuscule 609"
"http://dbpedia.org/resource/Minuscule_611","Minuscule 611"
"http://dbpedia.org/resource/Minuscule_612","Minuscule 612"
"http://dbpedia.org/resource/Minuscule_613","Minuscule 613"
"http://dbpedia.org/resource/Minuscule_614","Minuscule 614"
"http://dbpedia.org/resource/Minuscule_615","Minuscule 615"
"http://dbpedia.org/resource/Minuscule_616","Minuscule 616"
"http://dbpedia.org/resource/Minuscule_617","Minuscule 617"
"http://dbpedia.org/resource/Minuscule_618","Minuscule 618"
"http://dbpedia.org/resource/Minuscule_619","Minuscule 619"
"http://dbpedia.org/resource/Minuscule_620","Minuscule 620"
"http://dbpedia.org/resource/Minuscule_621","Minuscule 621"
"http://dbpedia.org/resource/Minuscule_622","Minuscule 622"
"http://dbpedia.org/resource/Minuscule_623","Minuscule 623"
"http://dbpedia.org/resource/Minuscule_624","Minuscule 624"
"http://dbpedia.org/resource/Minuscule_625","Minuscule 625"
"http://dbpedia.org/resource/Minuscule_626","Minuscule 626"
"http://dbpedia.org/resource/Minuscule_627","Minuscule 627"
"http://dbpedia.org/resource/Minuscule_628","Minuscule 628"
"http://dbpedia.org/resource/Minuscule_629","Minuscule 629"
"http://dbpedia.org/resource/Minuscule_630","Minuscule 630"
"http://dbpedia.org/resource/Minuscule_631","Minuscule 631"
"http://dbpedia.org/resource/Minuscule_632","Minuscule 632"
"http://dbpedia.org/resource/Minuscule_633","Minuscule 633"
"http://dbpedia.org/resource/Minuscule_634","Minuscule 634"
"http://dbpedia.org/resource/Minuscule_635","Minuscule 635"
"http://dbpedia.org/resource/Minuscule_636","Minuscule 636"
"http://dbpedia.org/resource/Minuscule_637","Minuscule 637"
"http://dbpedia.org/resource/Minuscule_638","Minuscule 638"
"http://dbpedia.org/resource/Minuscule_640","Minuscule 640"
"http://dbpedia.org/resource/Minuscule_641","Minuscule 641"
"http://dbpedia.org/resource/Minuscule_642","Minuscule 642"
"http://dbpedia.org/resource/Minuscule_643","Minuscule 643"
"http://dbpedia.org/resource/Minuscule_644","Minuscule 644"
"http://dbpedia.org/resource/Minuscule_645","Minuscule 645"
"http://dbpedia.org/resource/Minuscule_646","Minuscule 646"
"http://dbpedia.org/resource/Minuscule_647","Minuscule 647"
"http://dbpedia.org/resource/Minuscule_648","Minuscule 648"
"http://dbpedia.org/resource/Minuscule_649","Minuscule 649"
"http://dbpedia.org/resource/Minuscule_650","Minuscule 650"
"http://dbpedia.org/resource/Minuscule_651","Minuscule 651"
"http://dbpedia.org/resource/Minuscule_652","Minuscule 652"
"http://dbpedia.org/resource/Minuscule_655","Minuscule 655"
"http://dbpedia.org/resource/Minuscule_656","Minuscule 656"
"http://dbpedia.org/resource/Minuscule_657","Minuscule 657"
"http://dbpedia.org/resource/Minuscule_660","Minuscule 660"
"http://dbpedia.org/resource/Minuscule_662","Minuscule 662"
"http://dbpedia.org/resource/Minuscule_663","Minuscule 663"
"http://dbpedia.org/resource/Minuscule_665","Minuscule 665"
"http://dbpedia.org/resource/Minuscule_666","Minuscule 666"
"http://dbpedia.org/resource/Minuscule_667","Minuscule 667"
"http://dbpedia.org/resource/Minuscule_668","Minuscule 668"
"http://dbpedia.org/resource/Minuscule_670","Minuscule 670"
"http://dbpedia.org/resource/Minuscule_671","Minuscule 671"
"http://dbpedia.org/resource/Minuscule_672","Minuscule 672"
"http://dbpedia.org/resource/Minuscule_673","Minuscule 673"
"http://dbpedia.org/resource/Minuscule_674","Minuscule 674"
"http://dbpedia.org/resource/Minuscule_675","Minuscule 675"
"http://dbpedia.org/resource/Minuscule_677","Minuscule 677"
"http://dbpedia.org/resource/Minuscule_678","Minuscule 678"
"http://dbpedia.org/resource/Minuscule_679","Minuscule 679"
"http://dbpedia.org/resource/Minuscule_680","Minuscule 680"
"http://dbpedia.org/resource/Minuscule_681","Minuscule 681"
"http://dbpedia.org/resource/Minuscule_682","Minuscule 682"
"http://dbpedia.org/resource/Minuscule_683","Minuscule 683"
