"90film","name"
"http://dbpedia.org/resource/Golet_in_the_Valley","Golet in the Valley"
"http://dbpedia.org/resource/Handsome_Siblings","Handsome Siblings"
"http://dbpedia.org/resource/Himalay_Putra","Himalay Putra"
"http://dbpedia.org/resource/Hogi_Pyaar_Ki_Jeet","Hogi Pyaar Ki Jeet"
"http://dbpedia.org/resource/Innocent_Lies","Innocent Lies"
"http://dbpedia.org/resource/Inspector_Pink_Dragon","Inspector Pink Dragon"
"http://dbpedia.org/resource/Jaanam","Jaanam"
"http://dbpedia.org/resource/Joey_Breaker","Joey Breaker"
"http://dbpedia.org/resource/Keep_the_Aspidistra_Flying_(film)","Keep the Aspidistra Flying (film)"
"http://dbpedia.org/resource/Kill_the_Man","Kill the Man"
"http://dbpedia.org/resource/Kouř","Kouř"
"http://dbpedia.org/resource/Kuro_no_tenshi_Vol._1","Kuro no tenshi Vol. 1"
"http://dbpedia.org/resource/La_Vie_sexuelle_des_Belges_1950–1978","La Vie sexuelle des Belges 1950–1978"
"http://dbpedia.org/resource/Lady_Killer_(1992_film)","Lady Killer (1992 film)"
"http://dbpedia.org/resource/Lady_Killer_(1995_film)","Lady Killer (1995 film)"
"http://dbpedia.org/resource/Lea_(film)","Lea (film)"
"http://dbpedia.org/resource/Legend_of_the_Wolf","Legend of the Wolf"
"http://dbpedia.org/resource/Les_Palmes_de_M._Schutz","Les Palmes de M. Schutz"
"http://dbpedia.org/resource/Living_in_Bondage","Living in Bondage"
"http://dbpedia.org/resource/Lotta_flyttar_hemifrån","Lotta flyttar hemifrån"
"http://dbpedia.org/resource/Lotta_på_Bråkmakargatan","Lotta på Bråkmakargatan"
"http://dbpedia.org/resource/Love_After_Love_(1992_film)","Love After Love (1992 film)"
"http://dbpedia.org/resource/Maa_Nannaku_Pelli","Maa Nannaku Pelli"
"http://dbpedia.org/resource/Madonna_(1999_film)","Madonna (1999 film)"
"http://dbpedia.org/resource/Magic_Island_(film)","Magic Island (film)"
"http://dbpedia.org/resource/Mandroid_(film)","Mandroid (film)"
"http://dbpedia.org/resource/Metal_Skin","Metal Skin"
"http://dbpedia.org/resource/Million_Dollar_Babies","Million Dollar Babies"
"http://dbpedia.org/resource/Mr._Vampire_1992","Mr. Vampire 1992"
"http://dbpedia.org/resource/Murder_in_New_Hampshire:_The_Pamela_Wojas_Smart_Story","Murder in New Hampshire: The Pamela Wojas Smart Story"
"http://dbpedia.org/resource/My_Dear_Muthachan","My Dear Muthachan"
"http://dbpedia.org/resource/Nausikaya","Nausikaya"
"http://dbpedia.org/resource/No_Scandal","No Scandal"
"http://dbpedia.org/resource/O-Ha!_Ako_Pa%3F","O-Ha! Ako Pa?"
"http://dbpedia.org/resource/Obsession_(1997_film)","Obsession (1997 film)"
"http://dbpedia.org/resource/Oru_Yathramozhi","Oru Yathramozhi"
"http://dbpedia.org/resource/Pandu_Pandoru_Rajakumari","Pandu Pandoru Rajakumari"
"http://dbpedia.org/resource/Penitentiary_Angel","Penitentiary Angel"
"http://dbpedia.org/resource/Perfect_Alibi","Perfect Alibi"
"http://dbpedia.org/resource/Poochudava","Poochudava"
"http://dbpedia.org/resource/Replacing_Dad","Replacing Dad"
"http://dbpedia.org/resource/Requiem_pro_panenku","Requiem pro panenku"
"http://dbpedia.org/resource/Ruby_Cairo","Ruby Cairo"
"http://dbpedia.org/resource/Sarafina!_(film)","Sarafina! (film)"
"http://dbpedia.org/resource/Search_for_the_Beast","Search for the Beast"
"http://dbpedia.org/resource/Serial_Killing_4_Dummys","Serial Killing 4 Dummys"
"http://dbpedia.org/resource/Sh'Chur","Sh'Chur"
