"fastFood","name"
"http://dbpedia.org/resource/Colectivo_Coffee_Roasters","Colectivo Coffee Roasters"
"http://dbpedia.org/resource/College_Street_Coffee_House","College Street Coffee House"
"http://dbpedia.org/resource/Costa_Coffee","Costa Coffee"
"http://dbpedia.org/resource/Counter_Culture_Coffee","Counter Culture Coffee"
"http://dbpedia.org/resource/Country_Style","Country Style"
"http://dbpedia.org/resource/Crab_Rangoon","Crab Rangoon"
"http://dbpedia.org/resource/Crazy_Mocha_Coffee_Company","Crazy Mocha Coffee Company"
"http://dbpedia.org/resource/Crêpe","Crêpe"
"http://dbpedia.org/resource/Dan_Cathy","Dan Cathy"
"http://dbpedia.org/resource/Dan_and_Frank_Carney","Dan and Frank Carney"
"http://dbpedia.org/resource/Allas_Sea_Pool","Allas Sea Pool"
"http://dbpedia.org/resource/Altoona-style_pizza","Altoona-style pizza"
"http://dbpedia.org/resource/Alu_chat","Alu chat"
"http://dbpedia.org/resource/American_Chinese_cuisine","American Chinese cuisine"
"http://dbpedia.org/resource/Java_Barn","Java Barn"
"http://dbpedia.org/resource/Jiaozi","Jiaozi"
"http://dbpedia.org/resource/Jing_Fong","Jing Fong"
"http://dbpedia.org/resource/Jittery_Joe's","Jittery Joe's"
"http://dbpedia.org/resource/Joe's_Pizza","Joe's Pizza"
"http://dbpedia.org/resource/Joe_&_The_Juice","Joe & The Juice"
"http://dbpedia.org/resource/John's_of_Bleecker_Street","John's of Bleecker Street"
"http://dbpedia.org/resource/Johnie's_Coffee_Shop","Johnie's Coffee Shop"
"http://dbpedia.org/resource/Beef_on_weck","Beef on weck"
"http://dbpedia.org/resource/Kout_Food_Group","Kout Food Group"
"http://dbpedia.org/resource/Krispy_Kreme","Krispy Kreme"
"http://dbpedia.org/resource/La_Choy","La Choy"
"http://dbpedia.org/resource/La_Prima_Espresso_Company","La Prima Espresso Company"
"http://dbpedia.org/resource/Lake_McDonald_Lodge_Coffee_Shop","Lake McDonald Lodge Coffee Shop"
"http://dbpedia.org/resource/Cashew_chicken","Cashew chicken"
"http://dbpedia.org/resource/DC101_Chili_Cook-Off","DC101 Chili Cook-Off"
"http://dbpedia.org/resource/Dabang","Dabang"
