"pol","name"
"http://dbpedia.org/resource/ABM_Shahjahan","ABM Shahjahan"
"http://dbpedia.org/resource/ABM_Zahidul_Haq","ABM Zahidul Haq"
"http://dbpedia.org/resource/AB_Siddique","AB Siddique"
"http://dbpedia.org/resource/AB_Tajul_Islam","AB Tajul Islam"
"http://dbpedia.org/resource/AFM_Bahauddin_Nasim","AFM Bahauddin Nasim"
"http://dbpedia.org/resource/AFM_Nurul_Haque_Hawladar","AFM Nurul Haque Hawladar"
"http://dbpedia.org/resource/AFM_Ruhal_Haque","AFM Ruhal Haque"
"http://dbpedia.org/resource/AKM_Alim_Ullah","AKM Alim Ullah"
"http://dbpedia.org/resource/AKM_Enamul_Haque_Shamim","AKM Enamul Haque Shamim"
"http://dbpedia.org/resource/AKM_Jahangir_Hossain","AKM Jahangir Hossain"
"http://dbpedia.org/resource/AKM_Maidul_Islam","AKM Maidul Islam"
"http://dbpedia.org/resource/AKM_Samsuzzoha","AKM Samsuzzoha"
"http://dbpedia.org/resource/AKM_Sarwar_Jahan_Badsha","AKM Sarwar Jahan Badsha"
"http://dbpedia.org/resource/AK_Abdul_Momen","AK Abdul Momen"
"http://dbpedia.org/resource/AMSA_Amin","AMSA Amin"
"http://dbpedia.org/resource/AM_Amin_Uddin","AM Amin Uddin"
"http://dbpedia.org/resource/ASHK_Sadek","ASHK Sadek"
"http://dbpedia.org/resource/Bobby_Gibson","Bobby Gibson"
"http://dbpedia.org/resource/Bobby_Levy","Bobby Levy"
"http://dbpedia.org/resource/Bobby_Lugo","Bobby Lugo"
"http://dbpedia.org/resource/Bobby_Pierce_(politician)","Bobby Pierce (politician)"
"http://dbpedia.org/resource/Bobby_R._Acord","Bobby R. Acord"
"http://dbpedia.org/resource/Bobby_Schostak","Bobby Schostak"
"http://dbpedia.org/resource/Bobby_Shafto","Bobby Shafto"
"http://dbpedia.org/resource/Bobby_Wegener","Bobby Wegener"
"http://dbpedia.org/resource/Bobby_Wilson_(Pittsburgh_politician)","Bobby Wilson (Pittsburgh politician)"
"http://dbpedia.org/resource/Boda_Janardhan","Boda Janardhan"
"http://dbpedia.org/resource/Boddepalli_Rajagopala_Rao","Boddepalli Rajagopala Rao"
"http://dbpedia.org/resource/Bodh_Raj_Sawhney","Bodh Raj Sawhney"
"http://dbpedia.org/resource/Bodhmaya_Kumari_Yadav","Bodhmaya Kumari Yadav"
"http://dbpedia.org/resource/Bodi_White","Bodi White"
"http://dbpedia.org/resource/Bodruddoza_Md._Farhad_Hossain","Bodruddoza Md. Farhad Hossain"
"http://dbpedia.org/resource/Boele_Staal","Boele Staal"
"http://dbpedia.org/resource/Bogdan_Gheorghiu","Bogdan Gheorghiu"
"http://dbpedia.org/resource/Boglár_László","Boglár László"
"http://dbpedia.org/resource/Bogoljub_Jevtić","Bogoljub Jevtić"
"http://dbpedia.org/resource/Bogusław_Bosak","Bogusław Bosak"
"http://dbpedia.org/resource/Bogusław_Kowalski","Bogusław Kowalski"
"http://dbpedia.org/resource/Bogusław_Sobczak","Bogusław Sobczak"
"http://dbpedia.org/resource/Bogusław_Wontor","Bogusław Wontor"
"http://dbpedia.org/resource/Boima_Kamara","Boima Kamara"
"http://dbpedia.org/resource/Boitumelo_Moiloa","Boitumelo Moiloa"
"http://dbpedia.org/resource/Boitumelo_Moloi","Boitumelo Moloi"
"http://dbpedia.org/resource/Bojan_Bojanovski","Bojan Bojanovski"
"http://dbpedia.org/resource/Boki_(Hawaiian_chief)","Boki (Hawaiian chief)"
"http://dbpedia.org/resource/Bolaji_Owasanoye","Bolaji Owasanoye"
"http://dbpedia.org/resource/Bolesław_Drobner","Bolesław Drobner"
"http://dbpedia.org/resource/Bolesław_Piecha","Bolesław Piecha"
"http://dbpedia.org/resource/Bolesław_Witczak","Bolesław Witczak"
"http://dbpedia.org/resource/Bolkiah_Ismail","Bolkiah Ismail"
"http://dbpedia.org/resource/Boluwaji_Kunlere","Boluwaji Kunlere"
"http://dbpedia.org/resource/Bomma_Venkateshwar","Bomma Venkateshwar"
"http://dbpedia.org/resource/Bongani_Mkongi","Bongani Mkongi"
"http://dbpedia.org/resource/Bongiwe_Mbinqo-Gigaba","Bongiwe Mbinqo-Gigaba"
"http://dbpedia.org/resource/Bonham_Norton","Bonham Norton"
"http://dbpedia.org/resource/Boniface_S._Emerengwa","Boniface S. Emerengwa"
"http://dbpedia.org/resource/Bonifacius_de_Jonge","Bonifacius de Jonge"
"http://dbpedia.org/resource/Bonner_L._Stiller","Bonner L. Stiller"
"http://dbpedia.org/resource/Bonnie_A._Bulla","Bonnie A. Bulla"
"http://dbpedia.org/resource/Bonnie_Glick","Bonnie Glick"
"http://dbpedia.org/resource/Bonnie_Jenkins","Bonnie Jenkins"
"http://dbpedia.org/resource/Bonnie_McKinnon","Bonnie McKinnon"
"http://dbpedia.org/resource/Bonnie_R._Cohen","Bonnie R. Cohen"
"http://dbpedia.org/resource/Boomer_Wright","Boomer Wright"
"http://dbpedia.org/resource/Borhan_Uddin","Borhan Uddin"
"http://dbpedia.org/resource/Borhan_Uddin_Ahmed","Borhan Uddin Ahmed"
"http://dbpedia.org/resource/Boriana_Åberg","Boriana Åberg"
"http://dbpedia.org/resource/Boris_Epure","Boris Epure"
"http://dbpedia.org/resource/Boris_Feldman","Boris Feldman"
"http://dbpedia.org/resource/Boris_Kevorkov","Boris Kevorkov"
"http://dbpedia.org/resource/Boris_Kurakin_(1733)","Boris Kurakin (1733)"
"http://dbpedia.org/resource/Boris_Zolotaryov","Boris Zolotaryov"
"http://dbpedia.org/resource/Borra_Venkatappaiah","Borra Venkatappaiah"
"http://dbpedia.org/resource/Boss_Mustapha","Boss Mustapha"
