"lake","name"
"http://dbpedia.org/resource/Summit_Lake_(Thunder_Bay_District)","Summit Lake (Thunder Bay District)"
"http://dbpedia.org/resource/Summit_Lake_(Timiskaming_District)","Summit Lake (Timiskaming District)"
"http://dbpedia.org/resource/Surveyor_Lake_(Algoma_District)","Surveyor Lake (Algoma District)"
"http://dbpedia.org/resource/Surveyor_Lake_(Nipissing_District)","Surveyor Lake (Nipissing District)"
"http://dbpedia.org/resource/Sustut_Lake","Sustut Lake"
"http://dbpedia.org/resource/Todd_Lakes_(Lennox_and_Addington_County)","Todd Lakes (Lennox and Addington County)"
"http://dbpedia.org/resource/Tripoli_Lake_(Algoma_District)","Tripoli Lake (Algoma District)"
"http://dbpedia.org/resource/Tripoli_Lake_(Kenora_District)","Tripoli Lake (Kenora District)"
"http://dbpedia.org/resource/Turton_and_Entwistle_Reservoir","Turton and Entwistle Reservoir"
"http://dbpedia.org/resource/Uet_era_Ngermeuangel","Uet era Ngermeuangel"
"http://dbpedia.org/resource/Uet_era_Ongael","Uet era Ongael"
"http://dbpedia.org/resource/Upper_Magpie_Lake_(Ontario)","Upper Magpie Lake (Ontario)"
"http://dbpedia.org/resource/Upper_Partridge_Lake_(Ontario)","Upper Partridge Lake (Ontario)"
"http://dbpedia.org/resource/Upper_Summit_Lake_(British_Columbia)","Upper Summit Lake (British Columbia)"
"http://dbpedia.org/resource/Varpan","Varpan"
"http://dbpedia.org/resource/Ward's_Reservoir","Ward's Reservoir"
"http://dbpedia.org/resource/Wayoh_Reservoir","Wayoh Reservoir"
"http://dbpedia.org/resource/Wejinabikun_Lake_(Ontario)","Wejinabikun Lake (Ontario)"
"http://dbpedia.org/resource/West_Tripoli_Lake_(Ontario)","West Tripoli Lake (Ontario)"
"http://dbpedia.org/resource/Whitefish_Lake_(Merrill_Creek)","Whitefish Lake (Merrill Creek)"
"http://dbpedia.org/resource/Willcox_Playa","Willcox Playa"
"http://dbpedia.org/resource/Aastejärv","Aastejärv"
"http://dbpedia.org/resource/Adriska","Adriska"
"http://dbpedia.org/resource/Ahvenajärv","Ahvenajärv"
"http://dbpedia.org/resource/Ajinohur","Ajinohur"
"http://dbpedia.org/resource/Aknajärv","Aknajärv"
"http://dbpedia.org/resource/Arujärv","Arujärv"
"http://dbpedia.org/resource/Attabad_Lake","Attabad Lake"
"http://dbpedia.org/resource/Ayun_Hạ_Lake","Ayun Hạ Lake"
"http://dbpedia.org/resource/Basalt_Lake","Basalt Lake"
"http://dbpedia.org/resource/Beaver_Run_Reservoir","Beaver Run Reservoir"
"http://dbpedia.org/resource/Big_Salmon_Lake_(Ontario)","Big Salmon Lake (Ontario)"
"http://dbpedia.org/resource/Bishazari_Tal","Bishazari Tal"
"http://dbpedia.org/resource/Black_Moss_Reservoirs","Black Moss Reservoirs"
"http://dbpedia.org/resource/Buckhorn_Lake_(Ontario)","Buckhorn Lake (Ontario)"
"http://dbpedia.org/resource/Buells_Creek_Reservoir","Buells Creek Reservoir"
"http://dbpedia.org/resource/Bumhururu","Bumhururu"
"http://dbpedia.org/resource/Calf_Hey_Reservoir","Calf Hey Reservoir"
"http://dbpedia.org/resource/Canonsburg_Lake","Canonsburg Lake"
"http://dbpedia.org/resource/Cedar_Lake_(California)","Cedar Lake (California)"
"http://dbpedia.org/resource/Connors_Lake","Connors Lake"
"http://dbpedia.org/resource/Crawford_Lake_(Cochrane_District)","Crawford Lake (Cochrane District)"
"http://dbpedia.org/resource/Crawford_Lake_(Parry_Sound_District)","Crawford Lake (Parry Sound District)"
"http://dbpedia.org/resource/Crawford_Lake_(Rainy_River_District)","Crawford Lake (Rainy River District)"
"http://dbpedia.org/resource/Crawford_Lake_(Sudbury_District)","Crawford Lake (Sudbury District)"
"http://dbpedia.org/resource/Cropley_Lake","Cropley Lake"
"http://dbpedia.org/resource/Crystal_Lake_(Manchester,_New_Hampshire)","Crystal Lake (Manchester, New Hampshire)"
"http://dbpedia.org/resource/Curtis_Lake_(Clark_County,_Washington)","Curtis Lake (Clark County, Washington)"
"http://dbpedia.org/resource/Cấm_Sơn_Lake","Cấm Sơn Lake"
"http://dbpedia.org/resource/Daisy_Lake_(Algoma_District)","Daisy Lake (Algoma District)"
"http://dbpedia.org/resource/Daisy_Lake_(Greater_Sudbury)","Daisy Lake (Greater Sudbury)"
"http://dbpedia.org/resource/Daisy_Lake_(Nipissing_District)","Daisy Lake (Nipissing District)"
"http://dbpedia.org/resource/Daisy_Lake_(Northwest_Territories)","Daisy Lake (Northwest Territories)"
"http://dbpedia.org/resource/Daisy_Lake_(Thunder_Bay_District)","Daisy Lake (Thunder Bay District)"
"http://dbpedia.org/resource/Dull_Ax_Lake","Dull Ax Lake"
"http://dbpedia.org/resource/Engli","Engli"
"http://dbpedia.org/resource/Fruid_Reservoir","Fruid Reservoir"
"http://dbpedia.org/resource/Gallant_Lake_(Alabama)","Gallant Lake (Alabama)"
"http://dbpedia.org/resource/Gokyo_Lakes","Gokyo Lakes"
"http://dbpedia.org/resource/Greendrop_Lake","Greendrop Lake"
"http://dbpedia.org/resource/Haanja_Kõverjärv","Haanja Kõverjärv"
"http://dbpedia.org/resource/High_Rid_Reservoir","High Rid Reservoir"
"http://dbpedia.org/resource/Hilba","Hilba"
"http://dbpedia.org/resource/Holvandi_Kivijärv","Holvandi Kivijärv"
"http://dbpedia.org/resource/Hope_Mills_Lake","Hope Mills Lake"
