"euroSight","name"
"http://dbpedia.org/resource/Villa_Guardamangia","Villa Guardamangia"
"http://dbpedia.org/resource/Sultan_Ibrahim_Building","Sultan Ibrahim Building"
"http://dbpedia.org/resource/Ministry_of_Defence_Main_Building","Ministry of Defence Main Building"
"http://dbpedia.org/resource/Schmidt_Artist_Lofts","Schmidt Artist Lofts"
"http://dbpedia.org/resource/Grand_Place","Grand Place"
"http://dbpedia.org/resource/Atakule","Atakule"
"http://dbpedia.org/resource/BMW_Headquarters","BMW Headquarters"
"http://dbpedia.org/resource/Folly_Tower,_Pontypool","Folly Tower, Pontypool"
"http://dbpedia.org/resource/Free_Derry_Corner","Free Derry Corner"
"http://dbpedia.org/resource/Hollywood_Sign","Hollywood Sign"
"http://dbpedia.org/resource/Kirtland_Temple","Kirtland Temple"
"http://dbpedia.org/resource/Cerritos_Center_for_the_Performing_Arts","Cerritos Center for the Performing Arts"
"http://dbpedia.org/resource/Dayabumi_Complex","Dayabumi Complex"
"http://dbpedia.org/resource/Holy_Trinity_Church,_Fulnek","Holy Trinity Church, Fulnek"
"http://dbpedia.org/resource/Pavilion_Gallery_Museum","Pavilion Gallery Museum"
"http://dbpedia.org/resource/U2_Tower","U2 Tower"
"http://dbpedia.org/resource/Usk_Reservoir","Usk Reservoir"
"http://dbpedia.org/resource/Villa_Louis","Villa Louis"
"http://dbpedia.org/resource/Philippi_Covered_Bridge","Philippi Covered Bridge"
"http://dbpedia.org/resource/Shell_Grotto,_Pontypool","Shell Grotto, Pontypool"
"http://dbpedia.org/resource/Dunlap_Square_Building","Dunlap Square Building"
"http://dbpedia.org/resource/Hunter_Building","Hunter Building"
"http://dbpedia.org/resource/Mabel_Tainter_Memorial_Building","Mabel Tainter Memorial Building"
"http://dbpedia.org/resource/Mastekranen","Mastekranen"
"http://dbpedia.org/resource/Nickerson_House","Nickerson House"
"http://dbpedia.org/resource/Aldborough_House","Aldborough House"
"http://dbpedia.org/resource/Tai_On_Building","Tai On Building"
"http://dbpedia.org/resource/List_of_Masonic_buildings","List of Masonic buildings"
"http://dbpedia.org/resource/Bargemusic","Bargemusic"
"http://dbpedia.org/resource/Kabootar_Khana","Kabootar Khana"
"http://dbpedia.org/resource/Alex_Theatre","Alex Theatre"
